"objetID,C,254","dateRefere,D","route,C,100","pr,C,10","depPr,C,10","concession,C,1","abs,N,24,15","cumul,N,24,15","x,N,24,15","y,N,24,15","z,N,24,15","cote,C,1","voie,N,10,0","accrochage,C,20","longueurd,N,10,0","longueurg,N,10,0","sectionnem,C,3","sectionn_1,C,15"
66377,02/01/2026,25N905701,1,25,N,0,0,"926420,83","6695383,05",0,D,0,ACCROCHE,242,0,25,DIRE
46811,02/01/2026,25N905701,2,25,N,0,242,"926317,33","6695145,91",0,D,0,ACCROCHE,210,0,25,DIRE
51191,02/01/2026,25N905701,3,25,N,0,452,"926399,16","6694951,37",0,D,0,ACCROCHE,295,0,25,DIRE
9742,02/01/2026,25N905701,4,25,N,0,747,"926483,18","6695318,03",0,D,0,ACCROCHE,243,0,25,DIRE
52293,02/01/2026,25N905701,5,25,N,0,990,"926313,62","6695177,32",0,D,0,ACCROCHE,126,0,25,DIRE
50788,02/01/2026,25N905702,1,25,N,0,0,"925514,76","6691560,18",0,D,0,ACCROCHE,661,0,25,DIRE
64246,02/01/2026,25N905702,2,25,N,0,661,"925666,79","6690959,25",0,D,0,ACCROCHE,405,0,25,DIRE
28301,02/01/2026,25N905702,3,25,N,0,1066,"926042,77","6690933,69",0,D,0,ACCROCHE,215,0,25,DIRE
28346,02/01/2026,25N905702,4,25,N,0,1281,"926000,83","6691118,72",0,D,0,ACCROCHE,200,0,25,DIRE
39847,02/01/2026,25N905703,1,25,N,0,0,"926083,85","6690774,95",0,D,0,ACCROCHE,175,0,25,DIRE
67306,02/01/2026,25N905703,2,25,N,0,175,"926212,77","6690555,7",0,D,0,ACCROCHE,175,0,25,DIRE
53175,02/01/2026,25N905703,3,25,N,0,350,"926362,63","6690425,04",0,D,0,ACCROCHE,215,0,25,DIRE
22665,02/01/2026,25N905703,4,25,N,0,565,"926190,57","6690639,3",0,D,0,ACCROCHE,175,0,25,DIRE
23576,02/01/2026,25N905703,5,25,N,0,740,"926148,94","6690604,71",0,D,0,ACCROCHE,297,0,25,DIRE
60902,02/01/2026,25N905703,6,25,N,0,1037,"926147,87","6690589,47",0,D,0,ACCROCHE,120,0,25,DIRE
63903,02/01/2026,25N905703,7,25,N,0,1157,"926071,5","6690506,61",0,D,0,ACCROCHE,120,0,25,DIRE
16877,02/01/2026,25N905704,1,25,N,0,0,"926457,75",6690209,0,D,0,ACCROCHE,205,0,25,DIRE
54549,02/01/2026,25N905704,2,25,N,0,205,"926729,61","6689805,41",0,D,0,ACCROCHE,193,0,25,DIRE
40123,02/01/2026,25N905704,3,25,N,0,398,"926766,65","6689888,18",0,D,0,ACCROCHE,335,0,25,DIRE
55015,02/01/2026,25N905704,4,25,N,0,733,"926564,83","6690007,17",0,D,0,ACCROCHE,300,0,25,DIRE
4643,02/01/2026,25N905705,1,25,N,0,0,"927175,56","6689311,5",0,D,0,ACCROCHE,320,0,25,DIRE
47978,02/01/2026,25N905705,2,25,N,0,320,"927168,15","6688947,33",0,D,0,ACCROCHE,247,0,25,DIRE
63107,02/01/2026,25N905705,3,25,N,0,567,"926966,34","6688568,55",0,D,0,ACCROCHE,420,0,25,DIRE
12910,02/01/2026,25N905705,4,25,N,0,987,"927250,12","6688974,6",0,D,0,ACCROCHE,655,0,25,DIRE
71346,02/01/2026,25N905705,5,25,N,0,1642,"927180,21","6688990,99",0,D,0,ACCROCHE,298,0,25,DIRE
24081,02/01/2026,25N905706,1,25,N,0,0,"926563,06","6688313,85",0,D,0,ACCROCHE,176,0,25,DIRE
10629,02/01/2026,25N905706,2,25,N,0,176,"926372,95","6688227,32",0,D,0,ACCROCHE,185,0,25,DIRE
